# Mojito CPU-language parity manifest
# schema-version	2
# reference-version	Mojo 1.0.0b3.dev2026071705
# reference-build	nightly-2026-07-17
# reference-date	2026-07-17
# manual-version	1.0.0b2
# manual-root	https://mojolang.org/docs/manual/
# inventory-date	2026-07-17
# nightly-release	https://mojolang.org/releases/nightly/
# nightly-audit	docs/mojo-nightly.md
# coverage	complete at manual-section and practical feature-family granularity
#
# status: implemented, partial, excluded, stretch
# scope: first-pass, excluded, post-native
# relation: match, subset, divergence, representation, excluded, stretch
# evidence: semicolon-separated case:, test:, docs:, or manual: references
id	area	status	scope	relation	mojo_behavior	mojito_behavior	evidence	notes
syntax.indentation	frontend	implemented	first-pass	match	Indentation delimits suites and continuation rules suppress logical newlines.	Lexer implements indentation, dedentation, continuations, comments, and bracket suppression.	case:line-continuation;test:tests/lexer_test.rs;manual:basics	
syntax.literals	frontend	implemented	first-pass	match	Supports integer, floating, boolean, raw/multiline/adjacent string, and interpolated literal families; Byte is an alias of UInt8, not a byte-string syntax.	Lexes and runs current numeric spellings, Byte/UInt8 values, adjacent ordinary or t-string families, and nested lexical interpolation boundaries.	case:literal-families;test:tests/lexer_test.rs;test:tests/parser_test.rs;docs:docs/features.md;manual:types	Exact arbitrary-precision numeric evaluation and lazy/self-hosted string representation are semantic type/library work recorded below, not missing literal syntax.
syntax.identifiers	frontend	implemented	first-pass	match	Identifiers include keyword stropping for names that would otherwise be reserved.	Identifiers and stropped names parse, check, mangle, and execute.	test:tests/lexer_test.rs;test:tests/symbol_test.rs;case:integer-arithmetic;manual:basics	
syntax.module-scope	frontend	implemented	first-pass	match	Runtime statements are forbidden at file scope; declarations and compile-time bindings are allowed.	Production compilation rejects executable file-scope statements.	case:file-scope-execution;test:tests/compiler_test.rs;manual:modules	Legacy phase tests may opt into a non-conforming snippet mode.
functions.def	functions	implemented	first-pass	match	`def` declares functions and methods with typed arguments and optional result types.	Ordinary `def` functions and methods check and execute.	case:hello-world;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:functions	
functions.fn-removed	functions	implemented	first-pass	match	The removed legacy `fn` keyword is rejected; `def` is the sole function-declaration keyword.	Legacy `fn` declarations are rejected by the parser.	case:legacy-fn;docs:grammar.md;manual:functions	Compatibility is rejection parity, not an implementation target.
functions.arguments	functions	implemented	first-pass	match	Supports positional-only, keyword-only, default, and keyword arguments.	Shared call binding supports `/`, `*`, defaults, and keywords.	case:default-arguments;case:keyword-arguments;case:positional-and-keyword-only;case:positional-only-by-keyword;case:keyword-only-by-position;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:functions	
functions.variadics-homogeneous	functions	implemented	first-pass	match	Homogeneous variadic positional and keyword collectors bind repeated values; an owned keyword dictionary forwards with `**kwargs^`.	Homogeneous `*args` and `**kwargs` run across free, generic, instance, static, and bounded-trait calls; collectors are owned insertion-ordered `StringDict[T]` values, and consuming forwarding reuses the shared binder and effect/origin checks.	case:homogeneous-variadics;case:kwargs-forwarding;case:kwargs-call-kinds;test:tests/checker_test.rs;test:tests/self_host_test.rs;docs:docs/features.md;manual:functions	The VM transports unmatched keyword pairs in an internal ordered ABI before constructing the source-visible collector.
functions.variadics-heterogeneous	functions	implemented	first-pass	representation	Type packs permit heterogeneous variadic arguments with per-element types and compile-time iteration.	Generic `*args: *ArgTypes` declarations infer statically evident expression types, check every element against its pack bound, expose concrete per-index types to compile-time iteration, and execute through a type-erased collection.	case:heterogeneous-variadics;case:complete-call-model;test:tests/comptime_test.rs;test:tests/checker_test.rs;test:tests/evaluator_test.rs;docs:docs/features.md;manual:functions	Because specialization precedes body checking, pack inference is syntactic for expressions not already carrying checked types.
functions.return-owned	functions	implemented	first-pass	match	Ordinary returns transfer an owned value and may apply implicit conversion.	Typed owned returns, literal coercion, recursion, and path checking run.	case:owned-return-and-bindings;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:functions	Return checking is intentionally conservative.
functions.return-ref	functions	implemented	first-pass	match	Reference returns carry origins tying the result to caller-owned storage.	Origin-checked reference returns, unions, projections, and escape rejection run.	case:reference-return;test:tests/origin_test.rs;test:tests/ownership_test.rs;manual:lifetimes	Safe caller-owned subset.
functions.named-results	functions	implemented	first-pass	match	Named `out` results support caller-transparent direct construction of nonmovable values.	A single named result is excluded from caller argument binding, checked for initialization, and returned directly; constructor `out self` also runs.	case:named-result;test:tests/checker_test.rs;test:tests/evaluator_test.rs;docs:docs/features.md;manual:functions	Definite initialization is conservative pending lifecycle-flow completion.
functions.overloading	functions	implemented	first-pass	match	Overload selection minimizes implicit conversions, applies contextual default types to otherwise-unconstrained literals, then prefers nonvariadic candidates, shorter signatures, and applicable specialization tie-breaks.	Functions, methods, and constructors rank after contextual generic-target substitution; unconstrained integer and floating literals prefer `Int` and `Float64`, while genuinely equivalent conversion paths remain ambiguous.	case:overload-ordering;case:overload-by-type;case:implicit-conversion;test:tests/overload_rejection_test.rs;docs:docs/features.md;manual:functions	No known first-pass divergence.
functions.static-methods	functions	implemented	first-pass	match	Struct methods may be declared static and called without a receiver.	User-defined static methods check, overload, lower, and execute through the shared default/keyword call ABI without synthesizing a receiver.	case:static-methods;test:tests/checker_test.rs;test:tests/vm_test.rs;docs:docs/features.md;manual:functions	Shared call binding applies equally to static methods.
functions.callable-values	functions	implemented	first-pass	representation	Functions have signature types; current Mojo specializes generic functions through compile-time aliases before using them as callables.	Function values inhabit typed variables, parameters, and fields; expected signatures select overloaded candidates and contextually specialize generics while preserving raising effects. Nominal def(...) conforming structs dispatch through __call__.	case:overloaded-callable-values;case:non-escaping-closures;test:tests/checker_test.rs;test:tests/vm_test.rs;docs:docs/features.md;manual:functions	Mojito materializes generic specialization as a runtime function value where current Mojo commonly uses a compile-time alias.
variables.declaration	bindings	implemented	first-pass	match	`var` supports explicit or inferred types and later assignment preserves type.	Typed, inferred, and var-less introductions check and run with stable binding identity.	case:owned-return-and-bindings;test:tests/checker_test.rs;test:tests/evaluator_test.rs;manual:variables	
variables.late-initialization	bindings	implemented	first-pass	match	Typed variables may be declared uninitialized and must be definitely initialized before use.	Typed late declarations run; path joins require initialization on every reaching branch, and reads before complete initialization reject.	case:late-initialization;test:tests/checker_test.rs;test:tests/assets_test.rs;docs:roadmap.md;manual:variables	No known first-pass divergence.
variables.implicit-scope	bindings	implemented	first-pass	match	Implicitly declared variables have function scope while explicit `var` bindings have block scope.	Nested var-less introductions receive stable function-owned identities and remain visible after their block; reachable-path joins reject reads unless every reaching path initialized the binding.	case:implicit-function-scope;case:late-initialization;test:tests/checker_test.rs;test:tests/evaluator_test.rs;manual:variables	Loop analysis conservatively retains the zero-iteration path.
variables.scope-shadowing	bindings	implemented	first-pass	match	Bindings use lexical scope and may shadow in nested scopes.	Lexical scopes, same-scope redeclaration errors, and stable IDs under shadowing run.	case:lexical-shadowing;test:tests/checker_test.rs;test:tests/evaluator_test.rs;manual:variables	
types.scalars	types	partial	first-pass	subset	Standard scalar structs include sized integers, floating types, Bool, and SIMD width-one aliases; Int aliases Scalar[DType.int].	Core Int/Scalar[DType.int] identity, UInt, Bool, Float64, sized numeric aliases, wrapping, and conversions run.	test:tests/checker_test.rs;test:tests/evaluator_test.rs;manual:types	The full dtype and literal-conversion matrix is incomplete.
types.strings	types	partial	first-pass	subset	String and string-slice APIs provide Unicode-aware storage, formatting, and protocol integration.	VM strings support literals, concatenation, equality, membership, length, and pragmatic conversion.	test:tests/evaluator_test.rs;docs:grammar.md;manual:types	No self-hosted Unicode-complete String.
types.string-literal-families	types	partial	first-pass	representation	String literals include raw, multiline, adjacent, and lazy interpolated TString forms.	Raw, multiline, same-line/indented adjacent, and adjacent t-string forms run with Writable-checked interpolation; the VM currently materializes them eagerly as String.	case:literal-families;case:string-interpolation;test:tests/lexer_test.rs;test:tests/parser_test.rs;test:tests/vm_test.rs;manual:types	Lazy self-hosted TString and StringLiteral materialization remain in Complete MIR-Schema-Prerequisite CPU Semantics.
types.tuples	types	implemented	first-pass	match	Heterogeneous tuples support displays, typed construction, compile-time indexing, unpacking, packs, comparison, and consuming utility operations.	Bare displays/destructuring, inferred and typed construction, compile-time indexing, length, membership, structural equality/order, concat, reverse, coercion, value semantics, and `Tuple[*Ts](*args^)` pack round-tripping run. Explicit transfers into reverse/concat are tracked as consuming moves.	case:tuple-values;test:tests/parser_test.rs;test:tests/checker_test.rs;test:tests/vm_test.rs;test:tests/comptime_test.rs;test:tests/ownership_test.rs;manual:types	Runtime heterogeneous indexing and pack spreading into arbitrary fixed-arity calls are rejected by current Mojo and are not parity targets.
types.collections	types	partial	first-pass	subset	Standard List, Dict, Set, Optional, and related generic collections are available.	List literals plus bundled self-hosted List, Dict, Set, HashDict, HashSet, and Optional proof subsets run.	case:list-values;test:tests/self_host_test.rs;docs:docs/features.md;manual:types	Not API-compatible with the full Mojo standard library.
types.collection-displays	types	implemented	first-pass	representation	List, set, and dictionary displays plus comprehensions construct inferred collection types.	Homogeneous list/set/dictionary displays and nested/filtering CPU comprehensions check inference, hashing, ownership, and source-order evaluation, then lower to explicit collection-construction MIR.	case:collection-comprehensions;test:tests/parser_test.rs;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:types	Builtin collection values have VM-native storage; general user-protocol dispatch remains in Complete MIR-Schema-Prerequisite CPU Semantics.
types.slices	types	partial	first-pass	subset	Slice syntax selects `ContiguousSlice` or `StridedSlice`, preserves optional start/end/step bounds, and supports mixed or variadic get/set protocols; standard collections define result/view semantics.	Omitted, negative, and strided bounds normalize through `indices()`; checked descriptor overloads and mixed/variadic `__getitem__`/`__setitem__` execute. Built-in List and String still use Mojito's eager VM results.	case:slice-completion;test:tests/parser_test.rs;test:tests/checker_test.rs;test:tests/vm_test.rs;docs:docs/features.md;manual:types	Language-level user slicing is complete; Span-returning List slices and Unicode String/StringSlice APIs remain in the CPU semantic and standard-library milestones.
types.variant	types	partial	first-pass	subset	`std.utils.Variant` stores one of a compile-time list of types and exposes membership queries, tag tests, reference projection, mutation, consuming extraction, replacement, and conditional protocols.	Explicit type packs, imported construction, `is_type_supported[T]()`, `isa[T]()`, typed projection, `set[T](value)`, checked/unsafe `take[T]()`, checked/unsafe `replace[Tin, Tout](value)`, and element-wise lifecycle/Hashable/Writable/Equatable gating run through checked/MIR operations.	case:variant-completion;test:tests/compiler_test.rs;test:tests/ownership_test.rs;manual:types;docs:roadmap.md	The VM gives unsafe operations deterministic unchecked-tag behavior rather than host undefined behavior. `destroy_with`, representation writing, and the fully generic TypeList-driven library surface remain in Grow The CPU Standard Library. Pattern matching is not yet a published current-Mojo Variant feature.
operators.arithmetic	operators	partial	first-pass	subset	Operator syntax dispatches through dunder methods and standard numeric protocols.	Arithmetic, comparison, boolean, membership, unary, power, floor division, augmented, bitwise, shift, and matrix-multiply syntax runs for builtins or checked user protocols.	case:integer-arithmetic;case:operator-completion;test:tests/evaluator_test.rs;test:tests/vm_test.rs;manual:operators	Full standard numeric protocolization remains in Complete MIR-Schema-Prerequisite CPU Semantics.
operators.chaining	operators	implemented	first-pass	match	Comparisons chain and short-circuit while evaluating operands in order.	Chained comparisons and boolean short-circuiting run.	case:chained-comparisons;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:operators	
control.conditionals	control	implemented	first-pass	match	`if`/`elif`/`else` and conditional expressions branch on Boolable conditions.	Statements and ternary expressions lower through HIR/MIR and run.	case:conditional-expressions;test:tests/hir_test.rs;test:tests/vm_test.rs;manual:control-flow	Builtin Boolable coverage is narrower than the full stdlib.
control.loops	control	implemented	first-pass	representation	`while` and protocol-driven `for` loops support break, continue, immutable and reference bindings, and consuming owned iteration.	While, range/list/user iteration, break/continue, `for ref` write-through, and `for var item in collection^` run; the transferred source is moved once and residual elements are destroyed on early exit when permitted.	case:while-loop;case:control-break-continue;case:reference-iteration;case:owned-iteration;test:tests/checker_test.rs;test:tests/hir_test.rs;test:tests/ownership_test.rs;test:tests/vm_test.rs;manual:control-flow	Owned builtin collections use the VM iterator state; general collection protocolization remains later schema-prerequisite work.
control.loop-else	control	implemented	first-pass	match	`while` and `for` may run an `else` suite after normal exhaustion but not after break or return.	HIR/MIR preserve loop `else`; normal exhaustion executes it and `break` bypasses it for both loop forms.	case:loop-else;case:loop-completion;test:tests/parser_test.rs;test:tests/hir_test.rs;test:tests/vm_test.rs;manual:control-flow	No known first-pass divergence.
control.patterns	control	partial	first-pass	subset	Destructuring and pattern forms bind structured values.	Tuple declaration destructuring and simultaneous tuple assignment run with checked arity and value flow.	case:pattern-completion;test:tests/parser_test.rs;test:tests/vm_test.rs;manual:control-flow	General pattern matching remains unavailable; no speculative future Variant pattern syntax is claimed.
errors.raise-try	errors	implemented	first-pass	match	Errors propagate through `raise` and are handled by try/except/else/finally.	Builtin and user-defined typed error values propagate through VM frames and structured handlers without losing their fields.	case:raise-and-handle;test:tests/evaluator_test.rs;test:tests/vm_test.rs;manual:errors	No known first-pass divergence.
errors.raises-effect	errors	implemented	first-pass	match	Raising functions, trait requirements, and calls participate in checked `raises` effects.	`raise` and selected direct, indirect, method, trait-requirement, and bounded-dispatch calls carry exact typed error contracts through checked HIR into MIR and must be handled or propagated.	case:raises-effect-unchecked;case:trait-requirement-effects;test:tests/checker_test.rs;test:tests/compiler_test.rs;test:tests/evaluator_test.rs;test:tests/mir_test.rs;test:tests/module_test.rs;docs:docs/features.md;manual:errors	A nonraising implementation may satisfy a raising requirement; a raising implementation may not widen its declared error family.
errors.typed	errors	implemented	first-pass	match	Errors may be typed and parameterized, including Never interactions.	Typed errors, inferred handler bindings, parametric callable errors, `Never` bottom coercion, and nonraising `raises Never` are checked.	case:typed-errors;test:tests/checker_test.rs;test:tests/evaluator_test.rs;docs:roadmap.md;manual:errors	No known first-pass divergence.
contexts.with	control	implemented	first-pass	match	Context managers use `with`, `__enter__`, and `__exit__` protocols.	Checked enter/exit calls execute around the body, including raising exits and mutation/write-back through the manager receiver.	case:context-managers;test:tests/parser_test.rs;test:tests/checker_test.rs;test:tests/vm_test.rs;docs:docs/features.md;manual:errors	No known first-pass divergence.
structs.declaration	structs	implemented	first-pass	match	Structs define stored fields, methods, parameters, and declared trait conformance.	Fields, methods, generic parameters, associated facts, and nominal conformance run.	case:struct-methods;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:structs	
structs.value-semantics	structs	implemented	first-pass	match	Struct values are independent under copy and transfer under move.	Struct copy/move behavior and nested value semantics run.	case:struct-copy-semantics;case:move-transfer;test:tests/evaluator_test.rs;test:tests/ownership_test.rs;manual:value-semantics	
modules.from-import	modules	partial	first-pass	subset	Source modules and packages use explicit relative imports; dotted absolute imports bind every prefix; resolution prefers source packages, `.mojoc`, source modules, then legacy `.mojopkg`.	Selective, wildcard, dotted, dots-only relative, aliased, and block-scoped source imports link with declaration provenance and lexical shadowing. Ordinary directories form namespaces, every dotted prefix binds, package members require explicit import/re-export, and source packages beat source modules.	test:tests/module_test.rs;docs:docs/architecture.md;manual:modules	The complete ordering awaits versioned `.mojoc` and legacy `.mojopkg` loading in Packaging, Artifacts, And Developer Tooling; the source-only choices match.
